source_file,median_last_10_years,median_first_10_years,difference
SH_MTX120148001.csv,20.1,19.5,0.6000000000000014
SH_MTX122016001.csv,15.3,14.2,1.1000000000000014
SH_MTX122168001.csv,15.1,14.0,1.0999999999999996
SH_MTX122282001.csv,15.6,14.6,1.0
SH_MTX123067001.csv,14.4,13.6,0.8000000000000007
SH_MTX126168001.csv,14.8,13.8,1.0
SH_MTX126307001.csv,18.5,17.3,1.1999999999999993
SH_MTX126330001.csv,18.2,17.45,0.75
SH_MTX127112001.csv,16.3,15.2,1.1000000000000014
SH_MTX129075001.csv,15.4,14.25,1.1500000000000004
SH_MTX129120001.csv,15.5,14.4,1.0999999999999996
SH_MTX129155005.csv,14.6,13.4,1.1999999999999993
SH_MTX130243001.csv,20.8,19.9,0.9000000000000021
SH_MTX130305001.csv,20.4,18.8,1.5999999999999979
SH_MTX130339001.csv,8.2,7.2,0.9999999999999991
SH_MTX131042012.csv,17.8,16.8,1.0
SH_MTX133063001.csv,19.6,18.85,0.75
SH_MTX133236002.csv,18.7,17.75,0.9499999999999993
SH_MTX133281001.csv,18.9,18.05,0.8499999999999979
SH_MTX133529001.csv,19.1,18.1,1.0
SH_MTX133550001.csv,19.1,18.4,0.7000000000000028
SH_MTX135228001.csv,15.9,14.850000000000001,1.049999999999999
SH_MTX136208001.csv,17.6,16.3,1.3000000000000007
SH_MTX138040001.csv,12.850000000000001,12.0,0.8500000000000014
SH_MTX138242001.csv,14.5,13.2,1.3000000000000007
SH_MTX138299001.csv,14.9,13.7,1.200000000000001
SH_MTX138442001.csv,12.7,11.649999999999999,1.0500000000000007
SH_MTX138538002.csv,18.9,17.7,1.1999999999999993
SH_MTX138548001.csv,13.6,12.75,0.8499999999999996
SH_MTX140272002.csv,19.7,18.55,1.1499999999999986
SH_MTX145270002.csv,17.4,16.75,0.6499999999999986
SH_MTX145340002.csv,17.2,16.1,1.0999999999999979
SH_MTX149020001.csv,17.0,16.3,0.6999999999999993
SH_MTX149281001.csv,17.1,15.75,1.3500000000000014
SH_MTX152448001.csv,16.5,15.6,0.9000000000000004
SH_MTX153097001.csv,16.4,15.55,0.8499999999999979
SH_MTX153185001.csv,14.9,14.1,0.8000000000000007
SH_MTX154040001.csv,15.5,14.9,0.5999999999999996
SH_MTX154405001.csv,15.0,14.1,0.9000000000000004
SH_MTX156009001.csv,15.7,14.7,1.0
SH_MTX156185001.csv,16.2,15.0,1.1999999999999993
SH_MTX161001001.csv,15.9,15.1,0.8000000000000007
SH_MTX163003004.csv,15.8,15.350000000000001,0.4499999999999993
SH_MTX163426001.csv,14.3,13.149999999999999,1.1500000000000021
SH_MTX164189001.csv,19.1,18.25,0.8500000000000014
SH_MTX165344001.csv,18.2,17.25,0.9499999999999993
SH_MTX166148001.csv,18.4,17.7,0.6999999999999993
SH_MTX167498001.csv,15.8,14.6,1.200000000000001
SH_MTX169196001.csv,16.6,15.5,1.1000000000000014
SH_MTX169264001.csv,18.7,17.55,1.1499999999999986
SH_MTX170104001.csv,17.7,16.6,1.0999999999999979
SH_MTX171105001.csv,17.1,16.2,0.9000000000000021
SH_MTX171320001.csv,14.2,13.3,0.8999999999999986
SH_MTX171491001.csv,16.7,16.15,0.5500000000000007
SH_MTX172093001.csv,16.6,15.6,1.0000000000000018
SH_MTX173026001.csv,15.0,13.9,1.0999999999999996
SH_MTX173034002.csv,13.7,12.649999999999999,1.0500000000000007
SH_MTX173054001.csv,17.3,16.1,1.1999999999999993
SH_MTX173064001.csv,18.5,17.3,1.1999999999999993
SH_MTX173197001.csv,13.6,12.4,1.1999999999999993
SH_MTX173290002.csv,14.1,12.75,1.3499999999999996
SH_MTX173306005.csv,12.5,11.5,1.0
SH_MTX174093001.csv,17.6,16.4,1.2000000000000028
SH_MTX174280001.csv,16.0,14.8,1.1999999999999993
SH_MTX176116001.csv,15.6,14.5,1.0999999999999996
SH_MTX177333003.csv,17.3,16.4,0.9000000000000021
SH_MTX179176001.csv,17.4,16.45,0.9499999999999993
SH_MTX181081002.csv,19.1,17.5,1.6000000000000014
SH_MTX183031001.csv,21.5,20.6,0.8999999999999986
SH_MTX183061001.csv,20.4,19.3,1.0999999999999979
SH_MTX183069001.csv,19.9,19.0,0.8999999999999986
SH_MTX184003002.csv,21.2,20.0,1.1999999999999993
SH_MTX184007002.csv,20.3,19.2,1.1000000000000014
SH_MTX185113001.csv,16.6,15.5,1.1000000000000014
SH_MTX186289001.csv,18.0,16.85,1.1499999999999986
SH_MTX187106001.csv,17.4,16.3,1.0999999999999979
SH_MTX187113001.csv,18.0,16.9,1.1000000000000014
SH_MTX188136001.csv,15.2,14.649999999999999,0.5500000000000007
